arquivo,capitulo,pagina,figura,largura_px,altura_px,legenda_original,status
_ambiguos/pagina-0030_semlegenda1.png,Chapter 1. Introduction to Control Systems,30,,351,365,,ambiguo
cap01-introduction-to-control-systems/pagina-0032_fig1-1.png,Chapter 1. Introduction to Control Systems,32,1.1,627,168,FIGURE 1.1 Process to be controlled.,ok
cap01-introduction-to-control-systems/pagina-0032_fig1-2.png,Chapter 1. Introduction to Control Systems,32,1.2,1306,168,FIGURE 1.2 Open-loop control system (without feedback).,ok
cap01-introduction-to-control-systems/pagina-0032_fig1-3.png,Chapter 1. Introduction to Control Systems,32,1.3,1530,350,FIGURE 1.3 Closed-loop feedback ­control system (with feedback).,ok
cap01-introduction-to-control-systems/pagina-0033_fig1-4.png,Chapter 1. Introduction to Control Systems,33,1.4,1537,515,FIGURE 1.4 Closed-loop ­feedback system with external ­disturbances and measurement noise.,ok
cap01-introduction-to-control-systems/pagina-0034_fig1-5.png,Chapter 1. Introduction to Control Systems,34,1.5,1847,557,FIGURE 1.5,ok
cap01-introduction-to-control-systems/pagina-0034_fig1-6.png,Chapter 1. Introduction to Control Systems,34,1.6,1324,448,FIGURE 1.6,ok
cap01-introduction-to-control-systems/pagina-0035_fig1-7.png,Chapter 1. Introduction to Control Systems,35,1.7,1063,940,FIGURE 1.7 Watt’s flyball governor.,ok
cap01-introduction-to-control-systems/pagina-0036_fig1-8.png,Chapter 1. Introduction to Control Systems,36,1.8,587,689,FIGURE 1.8 Water-level float regulator.,ok
cap01-introduction-to-control-systems/pagina-0039_fig1-9.png,Chapter 1. Introduction to Control Systems,39,1.9,1672,1133,FIGURE 1.9 applications to control engineering (Source: SRI Business Intelligence).,ok
cap01-introduction-to-control-systems/pagina-0041_fig1-10.png,Chapter 1. Introduction to Control Systems,41,1.10,1538,1751,FIGURE 1.10 (a) Automobile steering control system. (b) The driver uses the difference be- tween the actual and the desired direction of travel to generate a con- trolled adjustment of the steering wh,ok
cap01-introduction-to-control-systems/pagina-0042_fig1-11.png,Chapter 1. Introduction to Control Systems,42,1.11,1042,585,FIGURE 1.11 A manual ­control system for ­regulating the level of fluid in a tank by adjusting the output valve. The opera- tor views the level of fluid through a port in the side of the tank.,ok
cap01-introduction-to-control-systems/pagina-0043_fig1-12.png,Chapter 1. Introduction to Control Systems,43,1.12,1518,1034,"FIGURE 1.12 The Honda ASIMO humanoid robot. ASIMO walks, climbs stairs, and turns corners. (David Coll Blanco/ Alamy Stock Photo)",ok
cap01-introduction-to-control-systems/pagina-0044_fig1-13.png,Chapter 1. Introduction to Control Systems,44,1.13,1589,1008,FIGURE 1.13 Coordinated ­control system for a boiler–generator.,ok
cap01-introduction-to-control-systems/pagina-0045_fig1-14.png,Chapter 1. Introduction to Control Systems,45,1.14,1565,763,FIGURE 1.14 Recent advances in electronic prosthetics have resulted in the development of a prosthetic hand and arm that has the same dexterity as a human arm. (Kuznetsov Dmitriy/Shutterstock).,ok
cap01-introduction-to-control-systems/pagina-0045_fig1-15.png,Chapter 1. Introduction to Control Systems,45,1.15,1540,644,FIGURE 1.15 A feedback ­control system model of the national income.,ok
cap01-introduction-to-control-systems/pagina-0046_fig1-16.png,Chapter 1. Introduction to Control Systems,46,1.16,968,668,FIGURE 1.16 A commercial drone (GuruXOX/ Shuttterstock).,ok
cap01-introduction-to-control-systems/pagina-0049_fig1-17.png,Chapter 1. Introduction to Control Systems,49,1.17,954,1203,FIGURE 1.17,ok
_ambiguos/pagina-0049_semlegenda1.png,Chapter 1. Introduction to Control Systems,49,,755,158,,ambiguo
cap01-introduction-to-control-systems/pagina-0051_fig1-18.png,Chapter 1. Introduction to Control Systems,51,1.18,1116,997,FIGURE 1.18 The key elements of mechatronics [64].,ok
cap01-introduction-to-control-systems/pagina-0052_fig1-19.png,Chapter 1. Introduction to Control Systems,52,1.19,1164,798,FIGURE 1.19 The hybrid fuel automobile can be viewed as a ­mechatronic ­system. (Marmaduke St. John/Alamy Stock Photo.),ok
cap01-introduction-to-control-systems/pagina-0053_fig1-20.png,Chapter 1. Introduction to Control Systems,53,1.20,1117,766,FIGURE 1.20 Efficient wind power generation. (Photo courtesy of NASA),ok
cap01-introduction-to-control-systems/pagina-0054_fig1-21.png,Chapter 1. Introduction to Control Systems,54,1.21,819,619,FIGURE 1.21 Wearable ­computers can assist a physician provide better healthcare delivery. (Wavebreak Media Ltd/123RF.),ok
cap01-introduction-to-control-systems/pagina-0057_fig1-22.png,Chapter 1. Introduction to Control Systems,57,1.22,1334,928,FIGURE 1.22 Evolution of con- trol systems and autonomy.,ok
cap01-introduction-to-control-systems/pagina-0059_fig1-23.png,Chapter 1. Introduction to Control Systems,59,1.23,1812,1223,FIGURE 1.23,ok
cap01-introduction-to-control-systems/pagina-0060_fig1-24.png,Chapter 1. Introduction to Control Systems,60,1.24,1457,749,FIGURE 1.24 (a) Open-loop (without feedback) control of the speed of a rotating disk. (b) Block diagram model.,ok
cap01-introduction-to-control-systems/pagina-0061_fig1-25.png,Chapter 1. Introduction to Control Systems,61,1.25,1550,974,FIGURE 1.25 (a) Closed-loop control of the speed of a rotating disk. (b) Block dia- gram model.,ok
cap01-introduction-to-control-systems/pagina-0062_fig1-26.png,Chapter 1. Introduction to Control Systems,62,1.26,1055,770,FIGURE 1.26 The blood ­glucose and insulin ­levels for a healthy person.,ok
cap01-introduction-to-control-systems/pagina-0062_fig1-27.png,Chapter 1. Introduction to Control Systems,62,1.27,1401,881,FIGURE 1.27 (a) Open-loop ­(without ­feedback) control and (b) closed-loop control of blood glucose.,ok
cap01-introduction-to-control-systems/pagina-0063_fig1-28.png,Chapter 1. Introduction to Control Systems,63,1.28,1406,621,FIGURE 1.28 (a) A disk drive (Ragnarock/ Shutterstock.) (b) Diagram of a disk drive.,ok
cap01-introduction-to-control-systems/pagina-0064_fig1-29.png,Chapter 1. Introduction to Control Systems,64,1.29,1433,326,FIGURE 1.29 Closed-loop control system for disk drive.,ok
cap01-introduction-to-control-systems/pagina-0064_fig1-30.png,Chapter 1. Introduction to Control Systems,64,1.30,865,136,"FIGURE 1.30 actuator, and process.",ok
_ambiguos/pagina-0067_semlegenda1.png,Chapter 1. Introduction to Control Systems,67,,1034,297,,ambiguo
_ambiguos/pagina-0068_semlegenda1.png,Chapter 1. Introduction to Control Systems,68,,917,582,,ambiguo
_ambiguos/pagina-0069_semlegenda1.png,Chapter 1. Introduction to Control Systems,69,,1054,382,,ambiguo
_ambiguos/pagina-0069_semlegenda2.png,Chapter 1. Introduction to Control Systems,69,,818,490,,ambiguo
_ambiguos/pagina-0069_semlegenda3.png,Chapter 1. Introduction to Control Systems,69,,1271,368,,ambiguo
_ambiguos/pagina-0070_semlegenda1.png,Chapter 1. Introduction to Control Systems,70,,655,272,,ambiguo
_ambiguos/pagina-0070_semlegenda2.png,Chapter 1. Introduction to Control Systems,70,,862,341,,ambiguo
_ambiguos/pagina-0070_semlegenda3.png,Chapter 1. Introduction to Control Systems,70,,871,456,,ambiguo
_ambiguos/pagina-0071_semlegenda1.png,Chapter 1. Introduction to Control Systems,71,,1325,415,,ambiguo
_ambiguos/pagina-0071_semlegenda2.png,Chapter 1. Introduction to Control Systems,71,,601,751,,ambiguo
_ambiguos/pagina-0072_semlegenda1.png,Chapter 1. Introduction to Control Systems,72,,880,629,,ambiguo
_ambiguos/pagina-0072_semlegenda2.png,Chapter 1. Introduction to Control Systems,72,,752,731,,ambiguo
_ambiguos/pagina-0073_semlegenda1.png,Chapter 1. Introduction to Control Systems,73,,1827,936,,ambiguo
_ambiguos/pagina-0074_semlegenda1.png,Chapter 1. Introduction to Control Systems,74,,876,678,,ambiguo
_ambiguos/pagina-0074_semlegenda2.png,Chapter 1. Introduction to Control Systems,74,,1176,851,,ambiguo
_ambiguos/pagina-0075_semlegenda1.png,Chapter 1. Introduction to Control Systems,75,,1669,744,,ambiguo
_ambiguos/pagina-0075_semlegenda2.png,Chapter 1. Introduction to Control Systems,75,,1149,717,,ambiguo
_ambiguos/pagina-0076_semlegenda1.png,Chapter 1. Introduction to Control Systems,76,,867,511,,ambiguo
_ambiguos/pagina-0076_semlegenda2.png,Chapter 1. Introduction to Control Systems,76,,464,706,,ambiguo
_ambiguos/pagina-0076_semlegenda3.png,Chapter 1. Introduction to Control Systems,76,,821,670,,ambiguo
_ambiguos/pagina-0077_semlegenda1.png,Chapter 1. Introduction to Control Systems,77,,531,681,,ambiguo
_ambiguos/pagina-0077_semlegenda2.png,Chapter 1. Introduction to Control Systems,77,,846,1003,,ambiguo
_ambiguos/pagina-0077_semlegenda3.png,Chapter 1. Introduction to Control Systems,77,,751,542,,ambiguo
_ambiguos/pagina-0078_semlegenda1.png,Chapter 1. Introduction to Control Systems,78,,924,631,,ambiguo
_ambiguos/pagina-0078_semlegenda2.png,Chapter 1. Introduction to Control Systems,78,,696,532,,ambiguo
_ambiguos/pagina-0078_semlegenda3.png,Chapter 1. Introduction to Control Systems,78,,367,691,,ambiguo
_ambiguos/pagina-0080_semlegenda1.png,Chapter 2. Mathematical Models of Systems,80,,351,365,,ambiguo
cap02-mathematical-models-of-systems/pagina-0082_fig2-1.png,Chapter 2. Mathematical Models of Systems,82,2.1,712,689,FIGURE 2.1 (a) Torsional spring–mass system. (b) Spring element.,ok
_ambiguos/pagina-0083_semlegenda1.png,Chapter 2. Mathematical Models of Systems,83,,311,308,,ambiguo
_ambiguos/pagina-0083_semlegenda2.png,Chapter 2. Mathematical Models of Systems,83,,312,488,,ambiguo
_ambiguos/pagina-0083_semlegenda3.png,Chapter 2. Mathematical Models of Systems,83,,126,606,,ambiguo
_ambiguos/pagina-0083_semlegenda4.png,Chapter 2. Mathematical Models of Systems,83,,126,598,,ambiguo
cap02-mathematical-models-of-systems/pagina-0084_fig2-2.png,Chapter 2. Mathematical Models of Systems,84,2.2,1016,642,FIGURE 2.2 (a) Spring-mass- damper system. (b) Free-body diagram.,ok
cap02-mathematical-models-of-systems/pagina-0085_fig2-3.png,Chapter 2. Mathematical Models of Systems,85,2.3,673,268,FIGURE 2.3 RLC circuit.,ok
cap02-mathematical-models-of-systems/pagina-0085_fig2-4.png,Chapter 2. Mathematical Models of Systems,85,2.4,1187,773,FIGURE 2.4 Typical voltage response for an RLC circuit.,ok
cap02-mathematical-models-of-systems/pagina-0088_fig2-5.png,Chapter 2. Mathematical Models of Systems,88,2.5,1313,677,FIGURE 2.5 (a) A mass sitting on a nonlinear spring. (b) The spring force versus y (t).,ok
cap02-mathematical-models-of-systems/pagina-0089_fig2-6.png,Chapter 2. Mathematical Models of Systems,89,2.6,1022,560,FIGURE 2.6 Pendulum oscillator.,ok
_ambiguos/pagina-0089_semlegenda1.png,Chapter 2. Mathematical Models of Systems,89,,574,161,,ambiguo
cap02-mathematical-models-of-systems/pagina-0092_fig2-7.png,Chapter 2. Mathematical Models of Systems,92,2.7,816,475,FIGURE 2.7 An s-plane pole and zero plot.,ok
cap02-mathematical-models-of-systems/pagina-0092_fig2-8.png,Chapter 2. Mathematical Models of Systems,92,2.8,816,431,FIGURE 2.8 Graphical ­evaluation of the residues.,ok
cap02-mathematical-models-of-systems/pagina-0093_fig2-9.png,Chapter 2. Mathematical Models of Systems,93,2.9,1003,1116,FIGURE 2.9 An s-plane plot of the poles and zeros of,ok
cap02-mathematical-models-of-systems/pagina-0094_fig2-10.png,Chapter 2. Mathematical Models of Systems,94,2.10,662,582,FIGURE 2.10 The locus of roots as ζ varies with constant.,ok
cap02-mathematical-models-of-systems/pagina-0094_fig2-11.png,Chapter 2. Mathematical Models of Systems,94,2.11,540,608,FIGURE 2.11 Evaluation of the residue k .,ok
cap02-mathematical-models-of-systems/pagina-0095_fig2-12.png,Chapter 2. Mathematical Models of Systems,95,2.12,1117,778,FIGURE 2.12 Response of the spring-mass- damper system.,ok
cap02-mathematical-models-of-systems/pagina-0096_fig2-13.png,Chapter 2. Mathematical Models of Systems,96,2.13,753,296,FIGURE 2.13 An RC network.,ok
cap02-mathematical-models-of-systems/pagina-0099_fig2-14.png,Chapter 2. Mathematical Models of Systems,99,2.14,1083,368,FIGURE 2.14 The ideal op-amp.,ok
cap02-mathematical-models-of-systems/pagina-0099_fig2-15.png,Chapter 2. Mathematical Models of Systems,99,2.15,774,443,FIGURE 2.15 An Inverting ­amplifier ­operating with ideal conditions.,ok
cap02-mathematical-models-of-systems/pagina-0100_fig2-16.png,Chapter 2. Mathematical Models of Systems,100,2.16,810,596,FIGURE 2.16 Two-mass ­mechanical system.,ok
cap02-mathematical-models-of-systems/pagina-0100_fig2-17.png,Chapter 2. Mathematical Models of Systems,100,2.17,724,330,FIGURE 2.17 Two-node elec- tric circuit analog,ok
cap02-mathematical-models-of-systems/pagina-0102_fig2-18.png,Chapter 2. Mathematical Models of Systems,102,2.18,1573,848,FIGURE 2.18 A DC motor (a) electrical ­diagram and (b) sketch.,ok
cap02-mathematical-models-of-systems/pagina-0103_fig2-19.png,Chapter 2. Mathematical Models of Systems,103,2.19,1561,318,FIGURE 2.19 Block diagram model of field-­ controlled DC motor.,ok
cap02-mathematical-models-of-systems/pagina-0104_fig2-20.png,Chapter 2. Mathematical Models of Systems,104,2.20,1421,481,FIGURE 2.20 Armature-controlled DC motor.,ok
_ambiguos/pagina-0105_semlegenda1.png,Chapter 2. Mathematical Models of Systems,105,,605,393,,ambiguo
_ambiguos/pagina-0105_semlegenda2.png,Chapter 2. Mathematical Models of Systems,105,,610,372,,ambiguo
_ambiguos/pagina-0105_semlegenda3.png,Chapter 2. Mathematical Models of Systems,105,,604,381,,ambiguo
_ambiguos/pagina-0105_semlegenda4.png,Chapter 2. Mathematical Models of Systems,105,,605,401,,ambiguo
_ambiguos/pagina-0106_semlegenda1.png,Chapter 2. Mathematical Models of Systems,106,,507,251,,ambiguo
_ambiguos/pagina-0106_semlegenda2.png,Chapter 2. Mathematical Models of Systems,106,,504,289,,ambiguo
_ambiguos/pagina-0106_semlegenda3.png,Chapter 2. Mathematical Models of Systems,106,,497,287,,ambiguo
_ambiguos/pagina-0106_semlegenda4.png,Chapter 2. Mathematical Models of Systems,106,,628,472,,ambiguo
_ambiguos/pagina-0106_semlegenda5.png,Chapter 2. Mathematical Models of Systems,106,,562,434,,ambiguo
_ambiguos/pagina-0107_semlegenda1.png,Chapter 2. Mathematical Models of Systems,107,,528,415,,ambiguo
_ambiguos/pagina-0107_semlegenda2.png,Chapter 2. Mathematical Models of Systems,107,,227,371,,ambiguo
_ambiguos/pagina-0107_semlegenda3.png,Chapter 2. Mathematical Models of Systems,107,,586,248,,ambiguo
_ambiguos/pagina-0107_semlegenda4.png,Chapter 2. Mathematical Models of Systems,107,,455,233,,ambiguo
_ambiguos/pagina-0107_semlegenda5.png,Chapter 2. Mathematical Models of Systems,107,,500,151,,ambiguo
_ambiguos/pagina-0108_semlegenda1.png,Chapter 2. Mathematical Models of Systems,108,,492,322,,ambiguo
_ambiguos/pagina-0108_semlegenda2.png,Chapter 2. Mathematical Models of Systems,108,,554,383,,ambiguo
_ambiguos/pagina-0108_semlegenda3.png,Chapter 2. Mathematical Models of Systems,108,,506,488,,ambiguo
cap02-mathematical-models-of-systems/pagina-0109_fig2-21.png,Chapter 2. Mathematical Models of Systems,109,2.21,835,245,FIGURE 2.21 Block diagram of a DC motor.,ok
cap02-mathematical-models-of-systems/pagina-0109_fig2-22.png,Chapter 2. Mathematical Models of Systems,109,2.22,808,217,"FIGURE 2.22 General block representation of two-input, two-­ output system.",ok
cap02-mathematical-models-of-systems/pagina-0109_fig2-23.png,Chapter 2. Mathematical Models of Systems,109,2.23,809,523,"FIGURE 2.23 Block diagram of a two-input, two-­ output intercon- nected system.",ok
_ambiguos/pagina-0110_semlegenda1.png,Chapter 2. Mathematical Models of Systems,110,,1149,1503,,ambiguo
cap02-mathematical-models-of-systems/pagina-0111_fig2-24.png,Chapter 2. Mathematical Models of Systems,111,2.24,1512,484,FIGURE 2.24 Negative feedback control system.,ok
cap02-mathematical-models-of-systems/pagina-0112_fig2-25.png,Chapter 2. Mathematical Models of Systems,112,2.25,1562,567,FIGURE 2.25 Multiple-loop feedback control system.,ok
cap02-mathematical-models-of-systems/pagina-0113_fig2-26.png,Chapter 2. Mathematical Models of Systems,113,2.26,1917,1140,FIGURE 2.26,ok
cap02-mathematical-models-of-systems/pagina-0114_fig2-27.png,Chapter 2. Mathematical Models of Systems,114,2.27,672,247,FIGURE 2.27 Signal-flow graph of the DC motor.,ok
cap02-mathematical-models-of-systems/pagina-0114_fig2-28.png,Chapter 2. Mathematical Models of Systems,114,2.28,681,335,"FIGURE 2.28 Signal-flow graph of a two-­input, two-output ­interconnected system.",ok
cap02-mathematical-models-of-systems/pagina-0115_fig2-29.png,Chapter 2. Mathematical Models of Systems,115,2.29,563,501,FIGURE 2.29 Signal-flow graph of two algebraic equations.,ok
cap02-mathematical-models-of-systems/pagina-0116_fig2-30.png,Chapter 2. Mathematical Models of Systems,116,2.30,1534,1283,FIGURE 2.30 Two-path ­interacting system. (a) Signal-flow graph. (b) Block diagram.,ok
cap02-mathematical-models-of-systems/pagina-0118_fig2-31.png,Chapter 2. Mathematical Models of Systems,118,2.31,1566,482,FIGURE 2.31 The signal-flow graph of the ­armature-controlled DC motor.,ok
cap02-mathematical-models-of-systems/pagina-0119_fig2-32.png,Chapter 2. Mathematical Models of Systems,119,2.32,1562,580,FIGURE 2.32 Signal-flow graph of a multiple-loop system.,ok
cap02-mathematical-models-of-systems/pagina-0120_fig2-33.png,Chapter 2. Mathematical Models of Systems,120,2.33,591,332,FIGURE 2.33 Equivalent circuit of the photovoltaic generator.,ok
cap02-mathematical-models-of-systems/pagina-0121_fig2-34.png,Chapter 2. Mathematical Models of Systems,121,2.34,1296,1007,FIGURE 2.34 Voltage versus ­current and power versus current for an example ­photovoltaic ­generator at a ­specific insolation level.,ok
cap02-mathematical-models-of-systems/pagina-0122_fig2-35.png,Chapter 2. Mathematical Models of Systems,122,2.35,1338,1075,FIGURE 2.35,ok
cap02-mathematical-models-of-systems/pagina-0122_fig2-36.png,Chapter 2. Mathematical Models of Systems,122,2.36,1260,262,FIGURE 2.36,ok
cap02-mathematical-models-of-systems/pagina-0123_fig2-37.png,Chapter 2. Mathematical Models of Systems,123,2.37,866,668,FIGURE 2.37 The fluid flow ­reservoir configuration.,ok
cap02-mathematical-models-of-systems/pagina-0124_fig2-38.png,Chapter 2. Mathematical Models of Systems,124,2.38,1400,978,FIGURE 2.38 reservoir example.,ok
_ambiguos/pagina-0124_semlegenda1.png,Chapter 2. Mathematical Models of Systems,124,,553,159,,ambiguo
cap02-mathematical-models-of-systems/pagina-0131_fig2-39.png,Chapter 2. Mathematical Models of Systems,131,2.39,1320,1030,FIGURE 2.39 The tank water level time history obtained by integrating the nonlinear equa- tions of motion in Equation (2.119) with H Q t,ok
cap02-mathematical-models-of-systems/pagina-0132_fig2-40.png,Chapter 2. Mathematical Models of Systems,132,2.40,1292,1031,FIGURE 2.40 The response showing the linear versus nonlinear response to a step input.,ok
cap02-mathematical-models-of-systems/pagina-0132_fig2-41.png,Chapter 2. Mathematical Models of Systems,132,2.41,1328,1015,FIGURE 2.41 The output flow rate response to a ­sinusoidal variation in the input flow.,ok
cap02-mathematical-models-of-systems/pagina-0133_fig2-42.png,Chapter 2. Mathematical Models of Systems,133,2.42,1328,1029,FIGURE 2.42 The water level response to a ­sinusoidal variation in the input flow.,ok
cap02-mathematical-models-of-systems/pagina-0134_fig2-43.png,Chapter 2. Mathematical Models of Systems,134,2.43,1564,1377,FIGURE 2.43 Speed control of an electric traction motor.,ok
_ambiguos/pagina-0134_semlegenda1.png,Chapter 2. Mathematical Models of Systems,134,,990,348,,ambiguo
cap02-mathematical-models-of-systems/pagina-0136_fig2-44.png,Chapter 2. Mathematical Models of Systems,136,2.44,1544,1311,"FIGURE 2.44 (a) Ladder network, (b) its signal-flow graph, and (c) its block diagram.",ok
_ambiguos/pagina-0138_semlegenda1.png,Chapter 2. Mathematical Models of Systems,138,,962,250,,ambiguo
cap02-mathematical-models-of-systems/pagina-0139_fig2-45.png,Chapter 2. Mathematical Models of Systems,139,2.45,1556,841,FIGURE 2.45 Script to analyze the spring-mass- damper.,ok
cap02-mathematical-models-of-systems/pagina-0139_fig2-46.png,Chapter 2. Mathematical Models of Systems,139,2.46,1374,962,FIGURE 2.46 Spring-mass- damper unforced response.,ok
cap02-mathematical-models-of-systems/pagina-0140_fig2-47.png,Chapter 2. Mathematical Models of Systems,140,2.47,1168,668,FIGURE 2.47 Entering the polynomial,ok
cap02-mathematical-models-of-systems/pagina-0140_fig2-48.png,Chapter 2. Mathematical Models of Systems,140,2.48,1168,493,FIGURE 2.48 Using conv and polyval to ­multiply and evaluate the polynomials,ok
cap02-mathematical-models-of-systems/pagina-0141_fig2-49.png,Chapter 2. Mathematical Models of Systems,141,2.49,1330,1061,FIGURE 2.49 (a) The tf function. (b) Using the tf function to create transfer function objects and adding them using the tf operator.,ok
cap02-mathematical-models-of-systems/pagina-0142_fig2-50.png,Chapter 2. Mathematical Models of Systems,142,2.50,1261,1001,FIGURE 2.50 (a) The pole and zero functions. (b) Using the pole and zero functions to compute the pole and zero ­locations of a linear system.,ok
cap02-mathematical-models-of-systems/pagina-0142_fig2-51.png,Chapter 2. Mathematical Models of Systems,142,2.51,754,539,FIGURE 2.51 The pzmap function.,ok
cap02-mathematical-models-of-systems/pagina-0143_fig2-52.png,Chapter 2. Mathematical Models of Systems,143,2.52,1152,782,FIGURE 2.52 Pole–zero map for G(s)/H(s).,ok
cap02-mathematical-models-of-systems/pagina-0143_fig2-53.png,Chapter 2. Mathematical Models of Systems,143,2.53,1138,1319,FIGURE 2.53 Transfer function example for and,ok
cap02-mathematical-models-of-systems/pagina-0144_fig2-54.png,Chapter 2. Mathematical Models of Systems,144,2.54,859,242,FIGURE 2.54 Open-loop control system (without feedback).,ok
cap02-mathematical-models-of-systems/pagina-0144_fig2-55.png,Chapter 2. Mathematical Models of Systems,144,2.55,1168,825,FIGURE 2.55 (a) Block diagram. (b) The series function.,ok
cap02-mathematical-models-of-systems/pagina-0145_fig2-56.png,Chapter 2. Mathematical Models of Systems,145,2.56,974,737,FIGURE 2.56 Application of the series function.,ok
cap02-mathematical-models-of-systems/pagina-0145_fig2-57.png,Chapter 2. Mathematical Models of Systems,145,2.57,1117,578,FIGURE 2.57 (a) Block diagram. (b) The parallel function.,ok
cap02-mathematical-models-of-systems/pagina-0145_fig2-58.png,Chapter 2. Mathematical Models of Systems,145,2.58,1100,318,FIGURE 2.58 A basic control system with unity feedback.,ok
cap02-mathematical-models-of-systems/pagina-0146_fig2-59.png,Chapter 2. Mathematical Models of Systems,146,2.59,1318,780,FIGURE 2.59 (a) Block diagram. (b) The feedback function with unity feedback.,ok
cap02-mathematical-models-of-systems/pagina-0146_fig2-60.png,Chapter 2. Mathematical Models of Systems,146,2.60,1342,626,FIGURE 2.60 (a) Block diagram. (b) The feedback function.,ok
cap02-mathematical-models-of-systems/pagina-0147_fig2-61.png,Chapter 2. Mathematical Models of Systems,147,2.61,1139,862,FIGURE 2.61 (a) Block diagram. (b) Application of the feedback function.,ok
cap02-mathematical-models-of-systems/pagina-0147_fig2-62.png,Chapter 2. Mathematical Models of Systems,147,2.62,860,326,FIGURE 2.62 A basic control system with the controller in the feedback loop.,ok
cap02-mathematical-models-of-systems/pagina-0148_fig2-63.png,Chapter 2. Mathematical Models of Systems,148,2.63,1001,945,"FIGURE 2.63 Application of the feedback function: (a) block diagram, (b) m-file script.",ok
cap02-mathematical-models-of-systems/pagina-0149_fig2-64.png,Chapter 2. Mathematical Models of Systems,149,2.64,1132,853,FIGURE 2.64 Multiple-loop block reduction.,ok
cap02-mathematical-models-of-systems/pagina-0149_fig2-65.png,Chapter 2. Mathematical Models of Systems,149,2.65,968,417,FIGURE 2.65 The minreal function.,ok
cap02-mathematical-models-of-systems/pagina-0150_fig2-66.png,Chapter 2. Mathematical Models of Systems,150,2.66,1039,395,FIGURE 2.66 Application of the minreal function.,ok
cap02-mathematical-models-of-systems/pagina-0150_fig2-67.png,Chapter 2. Mathematical Models of Systems,150,2.67,1047,759,FIGURE 2.67 Electric traction motor block reduction.,ok
cap02-mathematical-models-of-systems/pagina-0151_fig2-68.png,Chapter 2. Mathematical Models of Systems,151,2.68,1275,879,FIGURE 2.68 The step function.,ok
cap02-mathematical-models-of-systems/pagina-0151_fig2-69.png,Chapter 2. Mathematical Models of Systems,151,2.69,1586,619,FIGURE 2.69,ok
cap02-mathematical-models-of-systems/pagina-0152_fig2-70.png,Chapter 2. Mathematical Models of Systems,152,2.70,1566,1002,"FIGURE 2.70 Head mount for reader, showing flexure.",ok
cap02-mathematical-models-of-systems/pagina-0152_fig2-71.png,Chapter 2. Mathematical Models of Systems,152,2.71,1460,629,FIGURE 2.71 Block diagram model of disk drive read system.,ok
cap02-mathematical-models-of-systems/pagina-0153_fig2-72.png,Chapter 2. Mathematical Models of Systems,153,2.72,1270,317,FIGURE 2.72 Block diagram of closed-loop system.,ok
cap02-mathematical-models-of-systems/pagina-0154_fig2-73.png,Chapter 2. Mathematical Models of Systems,154,2.73,931,757,FIGURE 2.73 The system response of the system shown in Figure 2.72 for,ok
cap02-mathematical-models-of-systems/pagina-0155_fig2-74.png,Chapter 2. Mathematical Models of Systems,155,2.74,1446,503,FIGURE 2.74,ok
cap02-mathematical-models-of-systems/pagina-0156_fig2-75.png,Chapter 2. Mathematical Models of Systems,156,2.75,938,464,FIGURE 2.75,ok
cap02-mathematical-models-of-systems/pagina-0157_fig2-76.png,Chapter 2. Mathematical Models of Systems,157,2.76,1136,341,FIGURE 2.76,ok
_ambiguos/pagina-0159_semlegenda1.png,Chapter 2. Mathematical Models of Systems,159,,504,157,,ambiguo
_ambiguos/pagina-0159_semlegenda2.png,Chapter 2. Mathematical Models of Systems,159,,602,410,,ambiguo
_ambiguos/pagina-0160_semlegenda1.png,Chapter 2. Mathematical Models of Systems,160,,718,381,,ambiguo
_ambiguos/pagina-0160_semlegenda2.png,Chapter 2. Mathematical Models of Systems,160,,1370,624,,ambiguo
_ambiguos/pagina-0160_semlegenda3.png,Chapter 2. Mathematical Models of Systems,160,,755,364,,ambiguo
_ambiguos/pagina-0160_semlegenda4.png,Chapter 2. Mathematical Models of Systems,160,,442,325,,ambiguo
_ambiguos/pagina-0161_semlegenda1.png,Chapter 2. Mathematical Models of Systems,161,,845,406,,ambiguo
_ambiguos/pagina-0161_semlegenda2.png,Chapter 2. Mathematical Models of Systems,161,,874,653,,ambiguo
_ambiguos/pagina-0161_semlegenda3.png,Chapter 2. Mathematical Models of Systems,161,,1249,444,,ambiguo
_ambiguos/pagina-0161_semlegenda4.png,Chapter 2. Mathematical Models of Systems,161,,709,512,,ambiguo
_ambiguos/pagina-0162_semlegenda1.png,Chapter 2. Mathematical Models of Systems,162,,1177,407,,ambiguo
_ambiguos/pagina-0162_semlegenda2.png,Chapter 2. Mathematical Models of Systems,162,,1265,733,,ambiguo
_ambiguos/pagina-0163_semlegenda1.png,Chapter 2. Mathematical Models of Systems,163,,782,411,,ambiguo
_ambiguos/pagina-0163_semlegenda2.png,Chapter 2. Mathematical Models of Systems,163,,785,507,,ambiguo
_ambiguos/pagina-0163_semlegenda3.png,Chapter 2. Mathematical Models of Systems,163,,846,415,,ambiguo
_ambiguos/pagina-0163_semlegenda4.png,Chapter 2. Mathematical Models of Systems,163,,666,519,,ambiguo
_ambiguos/pagina-0164_semlegenda1.png,Chapter 2. Mathematical Models of Systems,164,,1843,528,,ambiguo
_ambiguos/pagina-0164_semlegenda2.png,Chapter 2. Mathematical Models of Systems,164,,794,673,,ambiguo
_ambiguos/pagina-0164_semlegenda3.png,Chapter 2. Mathematical Models of Systems,164,,871,400,,ambiguo
